=== Non-Rejectable Cookie Popup Button Analysis ===
Input directory: /mnt/efs/shared/crawler-data/autoconsent-coverage-crawls/2026-03-04/DE/3p-crawl
Date: 2026-03-27T12:19:43.855Z

--- Summary ---
Total JSON files: 99917
Files with potential popups: 81247
Total potential popups: 129767
  └─ AI-confirmed cookie popups: 47325
      └─ No reject buttons: 20832
          └─ No settings buttons: 16991 (aka non-rejectable cookie notices)

--- Button Text Distribution (cleaned, all 6136 entries) ---
Count | Button Text
    6 | alle ablehnen lehnt alle nicht-essentiellen cookies ab
    6 | log in here
    5 | ich nehme an
    5 | политикой обработки персональных данных
    5 | personalize
    5 | verlassen
    5 | privacyverklaring
    5 | cookies setzen
    5 | accepter et fermer
    5 | übersicht
    5 | unklassifizierte
    5 | meine einstellungen speichern
    5 | zum abonnement
    5 | was sind cookies?
    5 | zu unseren datenschutzbestimmungen.
    5 | 783 partner
    5 | werbezwecken
    5 | impressum.
    5 | agbs
    5 | wordpress cookie notice by real cookie banner
    5 | understood
    5 | cookies-einstellungen
    5 | eingeschränkt nutzen
    5 | datenschutz.
    5 | opt-out preferences
    5 | mehr...
    5 | english▼
    5 | soziale medien
    5 | detailed settings
    5 | alle aktivieren
    5 | куки
    5 | mehr dazu.
    5 | über uns
    5 | transparenzdokument
    5 | nur technisch notwendige erlauben
    5 | preferenze
    5 | youtube
    5 | o plikach cookies
    5 | szczegóły
    5 | datenschutz­erklärung
    5 | jetzt bild pur abonnieren
    5 | fremdinhalte darstellen (soziale netzwerke, videos und andere einbindungen)
    5 | personalised content, content measurement, audience research, and services development
    5 | webseite cookies und andere tracker
    5 | cookies und andere tracker
    5 | nicht annehmen und weitersurfen
    5 | politique de confidentialité
    5 | unsere datenschutzerklärung.
    5 | zulassen
    5 | meine auswahl bestätigen
    5 | hinweisen zum datenschutz
    5 | 177 partner
    5 | αποδοχή
    5 | alle einstellungen anzeigen.
    5 | alle
    5 | speichern und weiter
    5 | 381 partner
    5 | weitere informationen finden sie in unserer datenschutzerklärung.
    5 | ihre auswahl treffen
    5 | sie bestimmen, wie wir tracken
    5 | deutlich weniger werbung
    5 | werbung durch dritte (iab-verarbeitungszwecke, siehe unten)
    5 | sz-personalisierung und marketing
    5 | nutzungsanalyse und produktoptimierung
    5 | partnerzy
    5 | cookies auflisten
    5 | ich stimme zu.
    5 | sonstige
    5 | individuelle datenschutzpräferenzen
    5 | zustimmung speichern
    5 | individuell einstellen
    5 | zur auswahl
    5 | dowiedz się więcej
    5 | weiter ohne zu akzeptieren
    5 | dialog verlassen und zum seitenanfang
    5 | individual privacy settings
    5 | only the necessary cookies
    5 | zu unserer datenschutzerklärung
    5 | data protection policy
    5 | in ordnung
    5 | ustawień zaawansowanych
    5 | más opciones
    5 | zaufanych partnerów z iab
    5 | 500 andere websites
    5 | .
    5 | cookie-übersicht
    5 | individuell
    5 | show preferences
    5 | cookies deaktivieren
    5 | keine cookies
